source,target,edge_type,author_order,weight
author:md5:f756a36d150ba332fa33af094c684162,author:md5:fce15481deb68367b42f5a91fa32d17b,coauthor,,1.0
author:md5:f756a36d150ba332fa33af094c684162,author:md5:50b682adbf2f2efabb983a960de49f10,coauthor,,1.0
author:md5:f756a36d150ba332fa33af094c684162,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:f756a36d150ba332fa33af094c684162,author:md5:d1d24ff9f1975db42ae2df4b0b3425b3,coauthor,,1.0
author:md5:fce15481deb68367b42f5a91fa32d17b,author:md5:50b682adbf2f2efabb983a960de49f10,coauthor,,1.0
author:md5:fce15481deb68367b42f5a91fa32d17b,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:fce15481deb68367b42f5a91fa32d17b,author:md5:d1d24ff9f1975db42ae2df4b0b3425b3,coauthor,,1.0
author:md5:50b682adbf2f2efabb983a960de49f10,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:50b682adbf2f2efabb983a960de49f10,author:md5:d1d24ff9f1975db42ae2df4b0b3425b3,coauthor,,1.0
author:md5:d41d8cd98f00b204e9800998ecf8427e,author:md5:d1d24ff9f1975db42ae2df4b0b3425b3,coauthor,,1.0
author:md5:8cd1df0a5282cfcd62e72cca5f05dba9,author:md5:5031ed768603d2e064b49fd804916c8d,coauthor,,1.0
author:md5:8cd1df0a5282cfcd62e72cca5f05dba9,author:md5:9963943b01bd5206edace7d7bbdd5115,coauthor,,1.0
author:md5:8cd1df0a5282cfcd62e72cca5f05dba9,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:8cd1df0a5282cfcd62e72cca5f05dba9,author:md5:9695ed5913a5f41d4ad9dd9593712b8c,coauthor,,1.0
author:md5:5031ed768603d2e064b49fd804916c8d,author:md5:9963943b01bd5206edace7d7bbdd5115,coauthor,,1.0
author:md5:5031ed768603d2e064b49fd804916c8d,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:5031ed768603d2e064b49fd804916c8d,author:md5:9695ed5913a5f41d4ad9dd9593712b8c,coauthor,,1.0
author:md5:9963943b01bd5206edace7d7bbdd5115,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:9963943b01bd5206edace7d7bbdd5115,author:md5:9695ed5913a5f41d4ad9dd9593712b8c,coauthor,,1.0
author:md5:d41d8cd98f00b204e9800998ecf8427e,author:md5:9695ed5913a5f41d4ad9dd9593712b8c,coauthor,,1.0
author:md5:80d408b1170dee6fb8b2410edfb030a8,author:md5:b59a6149b4b2d454e3e06c431feb8416,coauthor,,1.0
author:md5:80d408b1170dee6fb8b2410edfb030a8,author:md5:d6d280db5219276e0beec4c84db83a39,coauthor,,1.0
author:md5:80d408b1170dee6fb8b2410edfb030a8,author:md5:7dc072d2c31845cf80668f25c3314b5c,coauthor,,1.0
author:md5:80d408b1170dee6fb8b2410edfb030a8,author:md5:9d290489a94c37920f4d6a4bcb01ea06,coauthor,,1.0
author:md5:80d408b1170dee6fb8b2410edfb030a8,author:md5:c7464b5269d4bab74768ac8a9dd3eb6a,coauthor,,1.0
author:md5:b59a6149b4b2d454e3e06c431feb8416,author:md5:d6d280db5219276e0beec4c84db83a39,coauthor,,1.0
author:md5:b59a6149b4b2d454e3e06c431feb8416,author:md5:7dc072d2c31845cf80668f25c3314b5c,coauthor,,1.0
author:md5:b59a6149b4b2d454e3e06c431feb8416,author:md5:9d290489a94c37920f4d6a4bcb01ea06,coauthor,,1.0
author:md5:b59a6149b4b2d454e3e06c431feb8416,author:md5:c7464b5269d4bab74768ac8a9dd3eb6a,coauthor,,1.0
author:md5:d6d280db5219276e0beec4c84db83a39,author:md5:7dc072d2c31845cf80668f25c3314b5c,coauthor,,1.0
author:md5:d6d280db5219276e0beec4c84db83a39,author:md5:9d290489a94c37920f4d6a4bcb01ea06,coauthor,,1.0
author:md5:d6d280db5219276e0beec4c84db83a39,author:md5:c7464b5269d4bab74768ac8a9dd3eb6a,coauthor,,1.0
author:md5:7dc072d2c31845cf80668f25c3314b5c,author:md5:9d290489a94c37920f4d6a4bcb01ea06,coauthor,,1.0
author:md5:7dc072d2c31845cf80668f25c3314b5c,author:md5:c7464b5269d4bab74768ac8a9dd3eb6a,coauthor,,1.0
author:md5:9d290489a94c37920f4d6a4bcb01ea06,author:md5:c7464b5269d4bab74768ac8a9dd3eb6a,coauthor,,1.0
author:md5:eadd4a8b53bd4dbb0a7cbadfe3bf88d2,author:md5:59257af56880b9012ddb17975e1e4bac,coauthor,,1.0
author:md5:eadd4a8b53bd4dbb0a7cbadfe3bf88d2,author:md5:04450173d2f263c35bdb4b89b5aee59b,coauthor,,1.0
author:md5:eadd4a8b53bd4dbb0a7cbadfe3bf88d2,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:eadd4a8b53bd4dbb0a7cbadfe3bf88d2,author:md5:b581b5b38dd69502b1ccc37f95156b43,coauthor,,1.0
author:md5:59257af56880b9012ddb17975e1e4bac,author:md5:04450173d2f263c35bdb4b89b5aee59b,coauthor,,1.0
author:md5:59257af56880b9012ddb17975e1e4bac,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:59257af56880b9012ddb17975e1e4bac,author:md5:b581b5b38dd69502b1ccc37f95156b43,coauthor,,1.0
author:md5:04450173d2f263c35bdb4b89b5aee59b,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:04450173d2f263c35bdb4b89b5aee59b,author:md5:b581b5b38dd69502b1ccc37f95156b43,coauthor,,1.0
author:md5:d41d8cd98f00b204e9800998ecf8427e,author:md5:b581b5b38dd69502b1ccc37f95156b43,coauthor,,1.0
author:md5:22a82d424b644e8276b35e33f90d2055,author:md5:e553ab86cbf8c9c223e1240137d5864c,coauthor,,1.0
author:md5:22a82d424b644e8276b35e33f90d2055,author:md5:03ae988bc85ff1385e1b57d4835ffb11,coauthor,,1.0
author:md5:22a82d424b644e8276b35e33f90d2055,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:22a82d424b644e8276b35e33f90d2055,author:md5:5b6e1df17619a69750d900016ae16c87,coauthor,,1.0
author:md5:e553ab86cbf8c9c223e1240137d5864c,author:md5:03ae988bc85ff1385e1b57d4835ffb11,coauthor,,1.0
author:md5:e553ab86cbf8c9c223e1240137d5864c,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:e553ab86cbf8c9c223e1240137d5864c,author:md5:5b6e1df17619a69750d900016ae16c87,coauthor,,1.0
author:md5:03ae988bc85ff1385e1b57d4835ffb11,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:03ae988bc85ff1385e1b57d4835ffb11,author:md5:5b6e1df17619a69750d900016ae16c87,coauthor,,1.0
author:md5:d41d8cd98f00b204e9800998ecf8427e,author:md5:5b6e1df17619a69750d900016ae16c87,coauthor,,1.0
author:md5:0d10b10935aeec95c62e22c598b0b424,author:md5:06d3855114d6f2cdde53e704711b715c,coauthor,,1.0
author:md5:0d10b10935aeec95c62e22c598b0b424,author:md5:773ed4ce623ce13489c5b925d378a7ad,coauthor,,1.0
author:md5:0d10b10935aeec95c62e22c598b0b424,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:0d10b10935aeec95c62e22c598b0b424,author:md5:ddf3e63d4449fcfab47a06b12a2af821,coauthor,,1.0
author:md5:06d3855114d6f2cdde53e704711b715c,author:md5:773ed4ce623ce13489c5b925d378a7ad,coauthor,,1.0
author:md5:06d3855114d6f2cdde53e704711b715c,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:06d3855114d6f2cdde53e704711b715c,author:md5:ddf3e63d4449fcfab47a06b12a2af821,coauthor,,1.0
author:md5:773ed4ce623ce13489c5b925d378a7ad,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:773ed4ce623ce13489c5b925d378a7ad,author:md5:ddf3e63d4449fcfab47a06b12a2af821,coauthor,,1.0
author:md5:d41d8cd98f00b204e9800998ecf8427e,author:md5:ddf3e63d4449fcfab47a06b12a2af821,coauthor,,1.0
author:md5:73a41cfcef0d88ae3544b86bdd0e2aac,author:md5:2566a81a39b2e723079c5296034f1b16,coauthor,,1.0
author:md5:73a41cfcef0d88ae3544b86bdd0e2aac,author:md5:cccd81c29d5b9591ffe4f19dbb30eda0,coauthor,,1.0
author:md5:73a41cfcef0d88ae3544b86bdd0e2aac,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:73a41cfcef0d88ae3544b86bdd0e2aac,author:md5:15e499a668613763f89fafa73bd42e68,coauthor,,1.0
author:md5:2566a81a39b2e723079c5296034f1b16,author:md5:cccd81c29d5b9591ffe4f19dbb30eda0,coauthor,,1.0
author:md5:2566a81a39b2e723079c5296034f1b16,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:2566a81a39b2e723079c5296034f1b16,author:md5:15e499a668613763f89fafa73bd42e68,coauthor,,1.0
author:md5:cccd81c29d5b9591ffe4f19dbb30eda0,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:cccd81c29d5b9591ffe4f19dbb30eda0,author:md5:15e499a668613763f89fafa73bd42e68,coauthor,,1.0
author:md5:d41d8cd98f00b204e9800998ecf8427e,author:md5:15e499a668613763f89fafa73bd42e68,coauthor,,1.0
author:md5:1b2a9760508240680aa51e4626e9d85b,author:md5:00499923c1a2c67eab82713c1f484e29,coauthor,,1.0
author:md5:1b2a9760508240680aa51e4626e9d85b,author:md5:24a7e3ea0fb906501a70dbb4eed2d11a,coauthor,,1.0
author:md5:1b2a9760508240680aa51e4626e9d85b,author:md5:9e5b6e87c78033054e8800339da54316,coauthor,,1.0
author:md5:1b2a9760508240680aa51e4626e9d85b,author:md5:ead9032355ae7f68060f4e0577646592,coauthor,,1.0
author:md5:1b2a9760508240680aa51e4626e9d85b,author:md5:2a073ce9e48d07607c9228e007ad1a43,coauthor,,1.0
author:md5:1b2a9760508240680aa51e4626e9d85b,author:md5:b581b5b38dd69502b1ccc37f95156b43,coauthor,,1.0
author:md5:1b2a9760508240680aa51e4626e9d85b,author:md5:62cef34180d7c698d2f1082df3ee91d8,coauthor,,1.0
author:md5:1b2a9760508240680aa51e4626e9d85b,author:md5:6f3121bafff0d80c9ee84e03ecc451f5,coauthor,,1.0
author:md5:00499923c1a2c67eab82713c1f484e29,author:md5:24a7e3ea0fb906501a70dbb4eed2d11a,coauthor,,1.0
author:md5:00499923c1a2c67eab82713c1f484e29,author:md5:9e5b6e87c78033054e8800339da54316,coauthor,,1.0
author:md5:00499923c1a2c67eab82713c1f484e29,author:md5:ead9032355ae7f68060f4e0577646592,coauthor,,1.0
author:md5:00499923c1a2c67eab82713c1f484e29,author:md5:2a073ce9e48d07607c9228e007ad1a43,coauthor,,1.0
author:md5:00499923c1a2c67eab82713c1f484e29,author:md5:b581b5b38dd69502b1ccc37f95156b43,coauthor,,1.0
author:md5:00499923c1a2c67eab82713c1f484e29,author:md5:62cef34180d7c698d2f1082df3ee91d8,coauthor,,1.0
author:md5:00499923c1a2c67eab82713c1f484e29,author:md5:6f3121bafff0d80c9ee84e03ecc451f5,coauthor,,1.0
author:md5:24a7e3ea0fb906501a70dbb4eed2d11a,author:md5:9e5b6e87c78033054e8800339da54316,coauthor,,1.0
author:md5:24a7e3ea0fb906501a70dbb4eed2d11a,author:md5:ead9032355ae7f68060f4e0577646592,coauthor,,1.0
author:md5:24a7e3ea0fb906501a70dbb4eed2d11a,author:md5:2a073ce9e48d07607c9228e007ad1a43,coauthor,,1.0
author:md5:24a7e3ea0fb906501a70dbb4eed2d11a,author:md5:b581b5b38dd69502b1ccc37f95156b43,coauthor,,1.0
author:md5:24a7e3ea0fb906501a70dbb4eed2d11a,author:md5:62cef34180d7c698d2f1082df3ee91d8,coauthor,,1.0
author:md5:24a7e3ea0fb906501a70dbb4eed2d11a,author:md5:6f3121bafff0d80c9ee84e03ecc451f5,coauthor,,1.0
author:md5:9e5b6e87c78033054e8800339da54316,author:md5:ead9032355ae7f68060f4e0577646592,coauthor,,1.0
author:md5:9e5b6e87c78033054e8800339da54316,author:md5:2a073ce9e48d07607c9228e007ad1a43,coauthor,,1.0
author:md5:9e5b6e87c78033054e8800339da54316,author:md5:b581b5b38dd69502b1ccc37f95156b43,coauthor,,1.0
author:md5:9e5b6e87c78033054e8800339da54316,author:md5:62cef34180d7c698d2f1082df3ee91d8,coauthor,,1.0
author:md5:9e5b6e87c78033054e8800339da54316,author:md5:6f3121bafff0d80c9ee84e03ecc451f5,coauthor,,1.0
author:md5:ead9032355ae7f68060f4e0577646592,author:md5:2a073ce9e48d07607c9228e007ad1a43,coauthor,,1.0
author:md5:ead9032355ae7f68060f4e0577646592,author:md5:b581b5b38dd69502b1ccc37f95156b43,coauthor,,1.0
author:md5:ead9032355ae7f68060f4e0577646592,author:md5:62cef34180d7c698d2f1082df3ee91d8,coauthor,,1.0
author:md5:ead9032355ae7f68060f4e0577646592,author:md5:6f3121bafff0d80c9ee84e03ecc451f5,coauthor,,1.0
author:md5:2a073ce9e48d07607c9228e007ad1a43,author:md5:b581b5b38dd69502b1ccc37f95156b43,coauthor,,1.0
author:md5:2a073ce9e48d07607c9228e007ad1a43,author:md5:62cef34180d7c698d2f1082df3ee91d8,coauthor,,1.0
author:md5:2a073ce9e48d07607c9228e007ad1a43,author:md5:6f3121bafff0d80c9ee84e03ecc451f5,coauthor,,1.0
author:md5:b581b5b38dd69502b1ccc37f95156b43,author:md5:62cef34180d7c698d2f1082df3ee91d8,coauthor,,1.0
author:md5:b581b5b38dd69502b1ccc37f95156b43,author:md5:6f3121bafff0d80c9ee84e03ecc451f5,coauthor,,1.0
author:md5:62cef34180d7c698d2f1082df3ee91d8,author:md5:6f3121bafff0d80c9ee84e03ecc451f5,coauthor,,1.0
author:md5:7bd9cc260f8d5f4b1aee040f931f2ea9,author:md5:d33ac275a12588557ddbc6eb89d8675f,coauthor,,1.0
author:md5:7bd9cc260f8d5f4b1aee040f931f2ea9,author:md5:a8ac0393eb1ad65d35204079ed0ad528,coauthor,,1.0
author:md5:7bd9cc260f8d5f4b1aee040f931f2ea9,author:md5:8a5dc60bba9910393b06889af3e69f66,coauthor,,1.0
author:md5:7bd9cc260f8d5f4b1aee040f931f2ea9,author:md5:4f5a743066e2ae33ed5950d5514d0afb,coauthor,,1.0
author:md5:7bd9cc260f8d5f4b1aee040f931f2ea9,author:md5:8096116296547d500cbc62d72492f722,coauthor,,1.0
author:md5:7bd9cc260f8d5f4b1aee040f931f2ea9,author:md5:8625be0e4857ad5000b7660107fbda41,coauthor,,1.0
author:md5:d33ac275a12588557ddbc6eb89d8675f,author:md5:a8ac0393eb1ad65d35204079ed0ad528,coauthor,,1.0
author:md5:d33ac275a12588557ddbc6eb89d8675f,author:md5:8a5dc60bba9910393b06889af3e69f66,coauthor,,1.0
author:md5:d33ac275a12588557ddbc6eb89d8675f,author:md5:4f5a743066e2ae33ed5950d5514d0afb,coauthor,,1.0
author:md5:d33ac275a12588557ddbc6eb89d8675f,author:md5:8096116296547d500cbc62d72492f722,coauthor,,1.0
author:md5:d33ac275a12588557ddbc6eb89d8675f,author:md5:8625be0e4857ad5000b7660107fbda41,coauthor,,1.0
author:md5:a8ac0393eb1ad65d35204079ed0ad528,author:md5:8a5dc60bba9910393b06889af3e69f66,coauthor,,1.0
author:md5:a8ac0393eb1ad65d35204079ed0ad528,author:md5:4f5a743066e2ae33ed5950d5514d0afb,coauthor,,1.0
author:md5:a8ac0393eb1ad65d35204079ed0ad528,author:md5:8096116296547d500cbc62d72492f722,coauthor,,1.0
author:md5:a8ac0393eb1ad65d35204079ed0ad528,author:md5:8625be0e4857ad5000b7660107fbda41,coauthor,,1.0
author:md5:8a5dc60bba9910393b06889af3e69f66,author:md5:4f5a743066e2ae33ed5950d5514d0afb,coauthor,,1.0
author:md5:8a5dc60bba9910393b06889af3e69f66,author:md5:8096116296547d500cbc62d72492f722,coauthor,,1.0
author:md5:8a5dc60bba9910393b06889af3e69f66,author:md5:8625be0e4857ad5000b7660107fbda41,coauthor,,1.0
author:md5:4f5a743066e2ae33ed5950d5514d0afb,author:md5:8096116296547d500cbc62d72492f722,coauthor,,1.0
author:md5:4f5a743066e2ae33ed5950d5514d0afb,author:md5:8625be0e4857ad5000b7660107fbda41,coauthor,,1.0
author:md5:8096116296547d500cbc62d72492f722,author:md5:8625be0e4857ad5000b7660107fbda41,coauthor,,1.0
author:md5:303b488f63dc917b418b296f37bb4d9d,author:md5:b41552ec9df0a7c640b91a4fcef96a2d,coauthor,,1.0
author:md5:303b488f63dc917b418b296f37bb4d9d,author:md5:ceed27aad5c070c903aa8af7d1b28835,coauthor,,1.0
author:md5:303b488f63dc917b418b296f37bb4d9d,author:md5:5998ef633e9549e243a539e3cd2283f9,coauthor,,1.0
author:md5:303b488f63dc917b418b296f37bb4d9d,author:md5:7af8de2cce9407c87900ae028e70f20e,coauthor,,1.0
author:md5:303b488f63dc917b418b296f37bb4d9d,author:md5:d4a684e6d9e94e981fe7fbd5cfffb90d,coauthor,,1.0
author:md5:b41552ec9df0a7c640b91a4fcef96a2d,author:md5:ceed27aad5c070c903aa8af7d1b28835,coauthor,,1.0
author:md5:b41552ec9df0a7c640b91a4fcef96a2d,author:md5:5998ef633e9549e243a539e3cd2283f9,coauthor,,1.0
author:md5:b41552ec9df0a7c640b91a4fcef96a2d,author:md5:7af8de2cce9407c87900ae028e70f20e,coauthor,,1.0
author:md5:b41552ec9df0a7c640b91a4fcef96a2d,author:md5:d4a684e6d9e94e981fe7fbd5cfffb90d,coauthor,,1.0
author:md5:ceed27aad5c070c903aa8af7d1b28835,author:md5:5998ef633e9549e243a539e3cd2283f9,coauthor,,1.0
author:md5:ceed27aad5c070c903aa8af7d1b28835,author:md5:7af8de2cce9407c87900ae028e70f20e,coauthor,,1.0
author:md5:ceed27aad5c070c903aa8af7d1b28835,author:md5:d4a684e6d9e94e981fe7fbd5cfffb90d,coauthor,,1.0
author:md5:5998ef633e9549e243a539e3cd2283f9,author:md5:7af8de2cce9407c87900ae028e70f20e,coauthor,,1.0
author:md5:5998ef633e9549e243a539e3cd2283f9,author:md5:d4a684e6d9e94e981fe7fbd5cfffb90d,coauthor,,1.0
author:md5:7af8de2cce9407c87900ae028e70f20e,author:md5:d4a684e6d9e94e981fe7fbd5cfffb90d,coauthor,,1.0
author:md5:b0b5745d6c1c11e3a26b80fc2ab71153,author:md5:3bdd4bd52df0eb572af00b383865b84a,coauthor,,1.0
author:md5:b0b5745d6c1c11e3a26b80fc2ab71153,author:md5:3d91e448deb2b079430251c2cc0c64dd,coauthor,,1.0
author:md5:b0b5745d6c1c11e3a26b80fc2ab71153,author:md5:1213b50ec05d3480da682288db221ef5,coauthor,,1.0
author:md5:b0b5745d6c1c11e3a26b80fc2ab71153,author:md5:b90690d1afe422aa5e247ece68d8bb9b,coauthor,,1.0
author:md5:b0b5745d6c1c11e3a26b80fc2ab71153,author:md5:ce6c9c397f62d0a7173876bda1fc0de3,coauthor,,1.0
author:md5:b0b5745d6c1c11e3a26b80fc2ab71153,author:md5:25b1d0766da15b0fc6433a5aac0ee314,coauthor,,1.0
author:md5:b0b5745d6c1c11e3a26b80fc2ab71153,author:md5:3f539b823fc0ac01194204490ca11f25,coauthor,,1.0
author:md5:b0b5745d6c1c11e3a26b80fc2ab71153,author:md5:8445755880b1a18ae5c27f1619b61556,coauthor,,1.0
author:md5:b0b5745d6c1c11e3a26b80fc2ab71153,author:md5:7bb84481a815f4c94875a3a579b06cfe,coauthor,,1.0
author:md5:3bdd4bd52df0eb572af00b383865b84a,author:md5:3d91e448deb2b079430251c2cc0c64dd,coauthor,,1.0
author:md5:3bdd4bd52df0eb572af00b383865b84a,author:md5:1213b50ec05d3480da682288db221ef5,coauthor,,1.0
author:md5:3bdd4bd52df0eb572af00b383865b84a,author:md5:b90690d1afe422aa5e247ece68d8bb9b,coauthor,,1.0
author:md5:3bdd4bd52df0eb572af00b383865b84a,author:md5:ce6c9c397f62d0a7173876bda1fc0de3,coauthor,,1.0
author:md5:3bdd4bd52df0eb572af00b383865b84a,author:md5:25b1d0766da15b0fc6433a5aac0ee314,coauthor,,1.0
author:md5:3bdd4bd52df0eb572af00b383865b84a,author:md5:3f539b823fc0ac01194204490ca11f25,coauthor,,1.0
author:md5:3bdd4bd52df0eb572af00b383865b84a,author:md5:8445755880b1a18ae5c27f1619b61556,coauthor,,1.0
author:md5:3bdd4bd52df0eb572af00b383865b84a,author:md5:7bb84481a815f4c94875a3a579b06cfe,coauthor,,1.0
author:md5:3d91e448deb2b079430251c2cc0c64dd,author:md5:1213b50ec05d3480da682288db221ef5,coauthor,,1.0
author:md5:3d91e448deb2b079430251c2cc0c64dd,author:md5:b90690d1afe422aa5e247ece68d8bb9b,coauthor,,1.0
author:md5:3d91e448deb2b079430251c2cc0c64dd,author:md5:ce6c9c397f62d0a7173876bda1fc0de3,coauthor,,1.0
author:md5:3d91e448deb2b079430251c2cc0c64dd,author:md5:25b1d0766da15b0fc6433a5aac0ee314,coauthor,,1.0
author:md5:3d91e448deb2b079430251c2cc0c64dd,author:md5:3f539b823fc0ac01194204490ca11f25,coauthor,,1.0
author:md5:3d91e448deb2b079430251c2cc0c64dd,author:md5:8445755880b1a18ae5c27f1619b61556,coauthor,,1.0
author:md5:3d91e448deb2b079430251c2cc0c64dd,author:md5:7bb84481a815f4c94875a3a579b06cfe,coauthor,,1.0
author:md5:1213b50ec05d3480da682288db221ef5,author:md5:b90690d1afe422aa5e247ece68d8bb9b,coauthor,,1.0
author:md5:1213b50ec05d3480da682288db221ef5,author:md5:ce6c9c397f62d0a7173876bda1fc0de3,coauthor,,1.0
author:md5:1213b50ec05d3480da682288db221ef5,author:md5:25b1d0766da15b0fc6433a5aac0ee314,coauthor,,1.0
author:md5:1213b50ec05d3480da682288db221ef5,author:md5:3f539b823fc0ac01194204490ca11f25,coauthor,,1.0
author:md5:1213b50ec05d3480da682288db221ef5,author:md5:8445755880b1a18ae5c27f1619b61556,coauthor,,1.0
author:md5:1213b50ec05d3480da682288db221ef5,author:md5:7bb84481a815f4c94875a3a579b06cfe,coauthor,,1.0
author:md5:b90690d1afe422aa5e247ece68d8bb9b,author:md5:ce6c9c397f62d0a7173876bda1fc0de3,coauthor,,1.0
author:md5:b90690d1afe422aa5e247ece68d8bb9b,author:md5:25b1d0766da15b0fc6433a5aac0ee314,coauthor,,1.0
author:md5:b90690d1afe422aa5e247ece68d8bb9b,author:md5:3f539b823fc0ac01194204490ca11f25,coauthor,,1.0
author:md5:b90690d1afe422aa5e247ece68d8bb9b,author:md5:8445755880b1a18ae5c27f1619b61556,coauthor,,1.0
author:md5:b90690d1afe422aa5e247ece68d8bb9b,author:md5:7bb84481a815f4c94875a3a579b06cfe,coauthor,,1.0
author:md5:ce6c9c397f62d0a7173876bda1fc0de3,author:md5:25b1d0766da15b0fc6433a5aac0ee314,coauthor,,1.0
author:md5:ce6c9c397f62d0a7173876bda1fc0de3,author:md5:3f539b823fc0ac01194204490ca11f25,coauthor,,1.0
author:md5:ce6c9c397f62d0a7173876bda1fc0de3,author:md5:8445755880b1a18ae5c27f1619b61556,coauthor,,1.0
author:md5:ce6c9c397f62d0a7173876bda1fc0de3,author:md5:7bb84481a815f4c94875a3a579b06cfe,coauthor,,1.0
author:md5:25b1d0766da15b0fc6433a5aac0ee314,author:md5:3f539b823fc0ac01194204490ca11f25,coauthor,,1.0
author:md5:25b1d0766da15b0fc6433a5aac0ee314,author:md5:8445755880b1a18ae5c27f1619b61556,coauthor,,1.0
author:md5:25b1d0766da15b0fc6433a5aac0ee314,author:md5:7bb84481a815f4c94875a3a579b06cfe,coauthor,,1.0
author:md5:3f539b823fc0ac01194204490ca11f25,author:md5:8445755880b1a18ae5c27f1619b61556,coauthor,,1.0
